Building Name,City,Height (m),Completed,Material,Use
Sheraton Kansas City Hotel at Crown Center,Kansas City (US),130,1980,steel,hotel
Evo at Cira Centre South,Philadelphia (US),130,2014,concrete,residential
AMA Building,Chicago (US),130,1990,steel,office
Marbella Apartments,Jersey City (US),130.2,2003,concrete,residential
Finland House,New York City (US),130.2,1970,concrete,office
225 West Randolph Street,Chicago (US),130.2,1965,,office
Broad Financial Center,New York City (US),130.2,1986,,office
Toren,New York City (US),130.3,2009,steel,residential
Hyatt Regency Orlando Expansion Tower,Orlando (US),130.4,2010,concrete,hotel
One Carnegie Hill,New York City (US),130.5,2006,concrete,residential
712 Main Street,Houston (US),130.5,1929,steel,office
Centro Lofts Miami,Miami (US),130.5,2016,concrete,residential / retail
Squibb Building,New York City (US),130.5,1972,,office
101 Warren Street,New York City (US),130.5,2008,concrete,residential
1100 Peachtree,Atlanta (US),130.5,1990,,office
Bank of America Building,Providence (US),130.5,1927,steel,office
Manhattan Plaza Apartments I,New York City (US),130.5,1977,concrete,residential
Manhattan Plaza Apartments II,New York City (US),130.5,1977,concrete,residential
Harlem River Park Tower I,New York City (US),130.5,1975,concrete,residential
Harlem River Park Tower II,New York City (US),130.5,1975,concrete,residential
1555 North Astor,Chicago (US),130.6,1975,concrete,residential
Trump Taj Mahal Casino Hotel,Atlantic City (US),130.8,1990,composite,hotel / casino
860 U.N. Plaza Apartments,New York City (US),130.8,1966,,residential
870 U.N. Plaza Apartments,New York City (US),130.8,1966,,residential
Fred F. French Building,New York City (US),130.8,1927,steel,office
AT&T Building,New York City (US),130.8,1930,steel,office
Linc LIC,New York City (US),130.8,2013,concrete,residential
First Hawaiian Center,Honolulu (US),130.8,1996,steel,office
4 Metrotech Center,New York City (US),130.8,1993,,office
Memorial Hermann Medical Plaza,Houston (US),131,2007,concrete,hospital / office
McClurg Court Center A,Chicago (US),131,1971,concrete,residential
McClurg Court Center B,Chicago (US),131,1971,concrete,residential
Jasper,San Francisco (US),131,2015,,residential
Turnberry Ocean Colony North Tower,Sunny Isles Beach (US),131,2007,concrete,residential
Turnberry Ocean Colony South Tower,Sunny Isles Beach (US),131,2008,concrete,residential
1700 Market Street,Philadelphia (US),131,1968,concrete,office
Bellevue Towers One,Bellevue (US),131.1,2008,concrete,residential
100 North Main Building,Memphis (US),131.1,1965,concrete,office
EQT Plaza,Pittsburgh (US),131.1,1987,,office
135 East 57th Street,New York City (US),131.1,1988,,office
One Woodward Avenue,Detroit (US),131.1,1963,,office
Carl B. Stokes Federal Courthouse,Cleveland (US),131.1,2002,steel,government
Baltimore Marriott Waterfront Hotel,Baltimore (US),131.1,2001,concrete,hotel
1130 South Michigan,Chicago (US),131.4,1967,concrete,residential
Two Hanover Square,Raleigh (US),131.4,1991,,office
Borgata Hotel & Casino,Atlantic City (US),131.5,2007,concrete,hotel / casino
Shirley Ryan AbilityLab,Chicago (US),131.5,2016,steel/concrete,hospital
Chrysler East,New York City (US),131.7,1999,steel,office
110 East 59th Street,New York City (US),131.7,1969,,office
535 5th Avenue,New York City (US),131.7,1926,steel,office
Bush Tower,New York City (US),131.7,1917,steel,office
Riverplace Tower,Jacksonville (US),131.7,1967,precast,office
The Savoy Condominiums,New York City (US),131.7,1986,concrete,residential
BKLYN Air,New York City (US),131.7,2014,concrete,residential
Renaissance New York Midtown Hotel,New York City (US),131.7,2015,concrete,hotel
5900 Wilshire,Los Angeles (US),132,1971,steel,office
225 West Wacker,Chicago (US),132,1989,concrete,office
Confucius Plaza Apartments,New York City (US),132,1976,,residential
The Vanderbilt,New York City (US),132,1986,concrete,residential
ITT Building,New York City (US),132,1928,steel,office
Loft 2,Miami (US),132,2007,concrete,residential
Two Wells Fargo Center,Charlotte (US),132,1971,,office
Silver Tower,Chicago (US),132.1,2010,concrete,residential
The Palisades,Fort Lee (US),132.3,2001,concrete,residential
First Interstate Tower North,Denver (US),132.3,1974,,office
Oklahoma Tower,Oklahoma City (US),132.3,1982,,office
Spring,Austin (US),132.3,2009,concrete,residential
Phoenix Tower,Houston (US),132.3,1984,,office
1600 Pacific Tower,Dallas (US),132.3,1964,,
Fontainebleau Tower Suites,Miami Beach (US),132.3,2005,concrete,residential / hotel
Russ Building,San Francisco (US),132.6,1927,steel,office
